"wv,m",B
1.20E-07,6.19E-02
1.21E-07,5.61E-01
1.22E-07,4.90E+00
1.23E-07,1.18E+00
1.24E-07,4.77E-02
1.25E-07,3.43E-02
1.26E-07,2.88E-02
1.27E-07,3.52E-02
1.28E-07,2.13E-02
1.29E-07,1.73E-02
1.30E-07,3.99E-02
1.31E-07,1.21E-01
1.32E-07,3.98E-02
1.33E-07,4.13E-02
1.34E-07,1.68E-01
1.35E-07,4.57E-02
1.36E-07,3.80E-02
1.37E-07,3.09E-02
1.38E-07,2.92E-02
1.39E-07,3.97E-02
1.40E-07,7.56E-02
1.41E-07,6.08E-02
1.42E-07,4.21E-02
1.43E-07,4.68E-02
1.44E-07,5.11E-02
1.45E-07,5.09E-02
1.46E-07,5.54E-02
1.47E-07,7.09E-02
1.48E-07,8.49E-02
1.49E-07,8.20E-02
1.50E-07,7.96E-02
1.51E-07,8.70E-02
1.52E-07,9.27E-02
1.53E-07,1.16E-01
1.54E-07,1.30E-01
1.55E-07,2.06E-01
1.56E-07,2.14E-01
1.57E-07,1.85E-01
1.58E-07,1.72E-01
1.59E-07,1.68E-01
1.60E-07,1.75E-01
1.61E-07,1.93E-01
1.62E-07,2.23E-01
1.63E-07,2.52E-01
1.64E-07,2.84E-01
1.65E-07,2.97E-01
1.66E-07,4.30E-01
1.67E-07,3.99E-01
1.68E-07,3.88E-01
1.69E-07,4.56E-01
1.70E-07,5.88E-01
1.71E-07,6.62E-01
1.72E-07,6.88E-01
1.73E-07,7.25E-01
1.74E-07,7.65E-01
1.75E-07,9.07E-01
1.76E-07,1.08E+00
1.77E-07,1.22E+00
1.78E-07,1.40E+00
1.79E-07,1.54E+00
1.80E-07,1.58E+00
1.81E-07,1.83E+00
1.82E-07,2.23E+00
1.83E-07,2.24E+00
1.84E-07,2.24E+00
1.85E-07,2.07E+00
1.86E-07,2.31E+00
1.87E-07,2.70E+00
1.88E-07,3.01E+00
1.89E-07,3.29E+00
1.90E-07,3.57E+00
1.91E-07,3.76E+00
1.92E-07,4.17E+00
1.93E-07,4.11E+00
1.94E-07,3.81E+00
1.95E-07,5.21E+00
1.96E-07,5.43E+00
1.97E-07,6.01E+00
1.98E-07,6.19E+00
1.99E-07,6.19E+00
2.00E-07,6.66E+00
2.01E-07,7.33E+00
2.02E-07,8.02E+00
2.03E-07,8.26E+00
2.04E-07,9.22E+00
2.05E-07,1.03E+01
2.06E-07,1.05E+01
2.07E-07,1.11E+01
2.08E-07,1.27E+01
2.09E-07,1.51E+01
2.10E-07,2.14E+01
2.11E-07,2.79E+01
2.12E-07,3.35E+01
2.13E-07,3.13E+01
2.14E-07,3.32E+01
2.15E-07,4.00E+01
2.16E-07,3.62E+01
2.17E-07,3.23E+01
2.18E-07,3.53E+01
2.19E-07,4.44E+01
2.20E-07,4.69E+01
2.21E-07,4.73E+01
2.22E-07,3.96E+01
2.23E-07,4.97E+01
2.24E-07,6.30E+01
2.25E-07,5.90E+01
2.26E-07,5.23E+01
2.27E-07,3.94E+01
2.28E-07,3.99E+01
2.29E-07,5.20E+01
2.30E-07,4.77E+01
2.31E-07,5.21E+01
2.32E-07,5.10E+01
2.33E-07,5.33E+01
2.34E-07,4.47E+01
2.35E-07,3.90E+01
2.36E-07,5.14E+01
2.37E-07,4.86E+01
2.38E-07,4.84E+01
2.39E-07,4.20E+01
2.40E-07,4.41E+01
2.41E-07,3.96E+01
2.42E-07,5.15E+01
2.43E-07,7.06E+01
2.44E-07,6.65E+01
2.45E-07,6.10E+01
2.46E-07,4.94E+01
2.47E-07,5.04E+01
2.48E-07,5.55E+01
2.49E-07,4.57E+01
2.50E-07,5.64E+01
2.51E-07,6.01E+01
2.52E-07,4.60E+01
2.53E-07,4.16E+01
2.54E-07,5.16E+01
2.55E-07,5.96E+01
2.56E-07,7.93E+01
2.57E-07,1.02E+02
2.58E-07,1.25E+02
2.59E-07,1.25E+02
2.60E-07,1.04E+02
2.61E-07,8.55E+01
2.62E-07,8.98E+01
2.63E-07,1.04E+02
2.64E-07,1.66E+02
2.65E-07,2.50E+02
2.66E-07,2.53E+02
2.67E-07,2.49E+02
2.68E-07,2.51E+02
2.69E-07,2.44E+02
2.70E-07,2.39E+02
2.71E-07,2.67E+02
2.72E-07,2.24E+02
2.73E-07,1.97E+02
2.74E-07,1.97E+02
2.75E-07,1.33E+02
2.76E-07,1.75E+02
2.77E-07,2.43E+02
2.78E-07,2.34E+02
2.79E-07,1.59E+02
2.80E-07,8.56E+01
2.81E-07,9.46E+01
2.82E-07,2.08E+02
2.83E-07,2.94E+02
2.84E-07,3.14E+02
2.85E-07,2.35E+02
2.86E-07,1.63E+02
2.87E-07,3.23E+02
2.88E-07,3.36E+02
2.89E-07,3.22E+02
2.90E-07,4.73E+02
2.91E-07,6.01E+02
2.92E-07,5.81E+02
2.93E-07,5.22E+02
2.94E-07,5.36E+02
2.95E-07,5.09E+02
2.96E-07,5.53E+02
2.97E-07,5.10E+02
2.98E-07,5.07E+02
2.99E-07,4.66E+02
3.00E-07,4.84E+02
3.01E-07,4.20E+02
3.02E-07,4.56E+02
3.03E-07,4.89E+02
3.04E-07,6.21E+02
3.05E-07,6.03E+02
3.06E-07,5.95E+02
3.07E-07,5.56E+02
3.08E-07,6.15E+02
3.09E-07,6.11E+02
3.10E-07,4.97E+02
3.11E-07,6.22E+02
3.12E-07,7.29E+02
3.13E-07,6.56E+02
3.14E-07,7.00E+02
3.15E-07,6.63E+02
3.16E-07,6.33E+02
3.17E-07,6.33E+02
3.18E-07,7.74E+02
3.19E-07,6.65E+02
3.20E-07,7.11E+02
3.21E-07,8.05E+02
3.22E-07,7.00E+02
3.23E-07,6.89E+02
3.24E-07,6.61E+02
3.25E-07,7.61E+02
3.26E-07,8.76E+02
3.27E-07,9.80E+02
3.28E-07,9.53E+02
3.29E-07,9.18E+02
3.30E-07,1.06E+03
3.31E-07,1.02E+03
3.32E-07,9.66E+02
3.33E-07,9.55E+02
3.34E-07,9.22E+02
3.35E-07,9.59E+02
3.36E-07,9.43E+02
3.37E-07,8.10E+02
3.38E-07,8.42E+02
3.39E-07,9.22E+02
3.40E-07,9.58E+02
3.41E-07,1.01E+03
3.42E-07,9.24E+02
3.43E-07,9.93E+02
3.44E-07,9.51E+02
3.45E-07,7.96E+02
3.46E-07,9.39E+02
3.47E-07,9.26E+02
3.48E-07,9.02E+02
3.49E-07,8.97E+02
3.50E-07,8.90E+02
3.51E-07,1.05E+03
3.52E-07,9.80E+02
3.53E-07,9.08E+02
3.54E-07,1.03E+03
3.55E-07,1.11E+03
3.56E-07,1.05E+03
3.57E-07,9.12E+02
3.58E-07,7.96E+02
3.59E-07,6.94E+02
3.60E-07,9.91E+02
3.61E-07,9.71E+02
3.62E-07,8.78E+02
3.63E-07,9.98E+02
3.64E-07,9.97E+02
3.65E-07,1.01E+03
3.66E-07,1.15E+03
3.67E-07,1.23E+03
3.68E-07,1.18E+03
3.69E-07,1.10E+03
3.70E-07,1.23E+03
3.71E-07,1.14E+03
3.72E-07,1.18E+03
3.73E-07,1.05E+03
3.74E-07,9.20E+02
3.75E-07,9.00E+02
3.76E-07,1.06E+03
3.77E-07,1.09E+03
3.78E-07,1.28E+03
3.79E-07,1.33E+03
3.80E-07,1.07E+03
3.81E-07,1.20E+03
3.82E-07,1.08E+03
3.83E-07,7.91E+02
3.84E-07,6.84E+02
3.85E-07,9.60E+02
3.86E-07,1.01E+03
3.87E-07,1.01E+03
3.88E-07,1.00E+03
3.89E-07,9.84E+02
3.90E-07,1.17E+03
3.91E-07,1.25E+03
3.92E-07,1.34E+03
3.93E-07,1.02E+03
3.94E-07,5.82E+02
3.95E-07,1.03E+03
3.96E-07,1.31E+03
3.97E-07,8.55E+02
3.98E-07,9.29E+02
3.99E-07,1.52E+03
4.00E-07,1.66E+03
4.01E-07,1.68E+03
4.02E-07,1.75E+03
4.03E-07,1.76E+03
4.04E-07,1.68E+03
4.05E-07,1.67E+03
4.06E-07,1.67E+03
4.07E-07,1.59E+03
4.08E-07,1.63E+03
4.09E-07,1.74E+03
4.10E-07,1.72E+03
4.11E-07,1.53E+03
4.12E-07,1.82E+03
4.13E-07,1.79E+03
4.14E-07,1.76E+03
4.15E-07,1.74E+03
4.16E-07,1.73E+03
4.17E-07,1.84E+03
4.18E-07,1.67E+03
4.19E-07,1.68E+03
4.20E-07,1.70E+03
4.21E-07,1.76E+03
4.22E-07,1.80E+03
4.23E-07,1.58E+03
4.24E-07,1.71E+03
4.25E-07,1.77E+03
4.26E-07,1.70E+03
4.27E-07,1.70E+03
4.28E-07,1.57E+03
4.29E-07,1.59E+03
4.30E-07,1.48E+03
4.31E-07,1.14E+03
4.32E-07,1.69E+03
4.33E-07,1.65E+03
4.34E-07,1.73E+03
4.35E-07,1.67E+03
4.36E-07,1.72E+03
4.37E-07,1.93E+03
4.38E-07,1.81E+03
4.39E-07,1.57E+03
4.40E-07,1.83E+03
4.41E-07,1.71E+03
4.42E-07,1.93E+03
4.43E-07,1.98E+03
4.44E-07,1.91E+03
4.45E-07,1.97E+03
4.46E-07,1.82E+03
4.47E-07,1.89E+03
4.48E-07,2.08E+03
4.49E-07,1.97E+03
4.50E-07,2.03E+03
4.51E-07,2.14E+03
4.52E-07,2.11E+03
4.53E-07,1.94E+03
4.54E-07,1.97E+03
4.55E-07,1.98E+03
4.56E-07,2.03E+03
4.57E-07,2.08E+03
4.58E-07,2.10E+03
4.59E-07,1.97E+03
4.60E-07,2.01E+03
4.61E-07,2.04E+03
4.62E-07,2.06E+03
4.63E-07,2.10E+03
4.64E-07,2.04E+03
4.65E-07,1.98E+03
4.66E-07,2.04E+03
4.67E-07,1.92E+03
4.68E-07,2.02E+03
4.69E-07,1.99E+03
4.70E-07,1.99E+03
4.71E-07,1.88E+03
4.72E-07,2.02E+03
4.73E-07,2.04E+03
4.74E-07,1.99E+03
4.75E-07,2.05E+03
4.76E-07,2.02E+03
4.77E-07,1.96E+03
4.78E-07,2.08E+03
4.79E-07,2.01E+03
4.80E-07,2.08E+03
4.81E-07,2.04E+03
4.82E-07,2.09E+03
4.83E-07,2.02E+03
4.84E-07,2.02E+03
4.85E-07,1.97E+03
4.86E-07,1.83E+03
4.87E-07,1.63E+03
4.88E-07,1.83E+03
4.89E-07,1.91E+03
4.90E-07,1.96E+03
4.91E-07,2.01E+03
4.92E-07,1.90E+03
4.93E-07,1.90E+03
4.94E-07,1.89E+03
4.95E-07,2.06E+03
4.96E-07,1.93E+03
4.97E-07,2.02E+03
4.98E-07,2.02E+03
4.99E-07,1.87E+03
5.00E-07,1.97E+03
5.01E-07,1.86E+03
5.02E-07,1.81E+03
5.03E-07,1.89E+03
5.04E-07,1.93E+03
5.05E-07,1.87E+03
5.06E-07,1.99E+03
5.07E-07,1.96E+03
5.08E-07,1.91E+03
5.09E-07,1.92E+03
5.10E-07,1.92E+03
5.11E-07,1.95E+03
5.12E-07,2.00E+03
5.13E-07,1.87E+03
5.14E-07,1.86E+03
5.15E-07,1.87E+03
5.16E-07,1.90E+03
5.17E-07,1.67E+03
5.18E-07,1.73E+03
5.19E-07,1.65E+03
5.20E-07,1.83E+03
5.21E-07,1.83E+03
5.22E-07,1.91E+03
5.23E-07,1.82E+03
5.24E-07,1.89E+03
5.25E-07,1.96E+03
5.26E-07,1.93E+03
5.27E-07,1.67E+03
5.28E-07,1.83E+03
5.29E-07,1.90E+03
5.30E-07,1.92E+03
5.31E-07,1.95E+03
5.32E-07,1.96E+03
5.33E-07,1.77E+03
5.34E-07,1.92E+03
5.35E-07,1.86E+03
5.36E-07,1.99E+03
5.37E-07,1.87E+03
5.38E-07,1.88E+03
5.39E-07,1.90E+03
5.40E-07,1.83E+03
5.41E-07,1.77E+03
5.42E-07,1.88E+03
5.43E-07,1.83E+03
5.44E-07,1.88E+03
5.45E-07,1.88E+03
5.46E-07,1.90E+03
5.47E-07,1.88E+03
5.48E-07,1.83E+03
5.49E-07,1.86E+03
5.50E-07,1.90E+03
5.51E-07,1.86E+03
5.52E-07,1.87E+03
5.53E-07,1.85E+03
5.54E-07,1.88E+03
5.55E-07,1.90E+03
5.56E-07,1.90E+03
5.57E-07,1.82E+03
5.58E-07,1.85E+03
5.59E-07,1.79E+03
5.60E-07,1.81E+03
5.61E-07,1.84E+03
5.62E-07,1.82E+03
5.63E-07,1.85E+03
5.64E-07,1.86E+03
5.65E-07,1.85E+03
5.66E-07,1.80E+03
5.67E-07,1.83E+03
5.68E-07,1.89E+03
5.69E-07,1.81E+03
5.70E-07,1.86E+03
5.71E-07,1.77E+03
5.72E-07,1.82E+03
5.73E-07,1.89E+03
5.74E-07,1.88E+03
5.75E-07,1.87E+03
5.76E-07,1.83E+03
5.77E-07,1.85E+03
5.78E-07,1.86E+03
5.79E-07,1.78E+03
5.80E-07,1.83E+03
5.81E-07,1.84E+03
5.82E-07,1.85E+03
5.83E-07,1.87E+03
5.84E-07,1.86E+03
5.85E-07,1.86E+03
5.86E-07,1.78E+03
5.87E-07,1.83E+03
5.88E-07,1.85E+03
5.89E-07,1.75E+03
5.90E-07,1.61E+03
5.91E-07,1.81E+03
5.92E-07,1.79E+03
5.93E-07,1.81E+03
5.94E-07,1.80E+03
5.95E-07,1.77E+03
5.96E-07,1.78E+03
5.97E-07,1.81E+03
5.98E-07,1.78E+03
5.99E-07,1.76E+03
6.00E-07,1.77E+03
6.01E-07,1.75E+03
6.02E-07,1.75E+03
6.03E-07,1.72E+03
6.04E-07,1.79E+03
6.05E-07,1.78E+03
6.06E-07,1.76E+03
6.07E-07,1.76E+03
6.08E-07,1.76E+03
6.09E-07,1.74E+03
6.10E-07,1.74E+03
6.11E-07,1.70E+03
6.12E-07,1.75E+03
6.13E-07,1.71E+03
6.14E-07,1.68E+03
6.15E-07,1.71E+03
6.16E-07,1.71E+03
6.17E-07,1.61E+03
6.18E-07,1.71E+03
6.19E-07,1.72E+03
6.20E-07,1.71E+03
6.21E-07,1.73E+03
6.22E-07,1.69E+03
6.23E-07,1.71E+03
6.24E-07,1.67E+03
6.25E-07,1.66E+03
6.26E-07,1.63E+03
6.27E-07,1.70E+03
6.28E-07,1.70E+03
6.29E-07,1.70E+03
6.30E-07,1.68E+03
0.000000631,1.64E+03
0.000000633,1.65E+03
0.000000635,1.66E+03
0.000000637,1.65E+03
0.000000639,1.65E+03
0.000000641,1.61E+03
0.000000643,1.62E+03
0.000000645,1.63E+03
0.000000647,1.60E+03
0.000000649,1.56E+03
0.000000651,1.61E+03
0.000000653,1.60E+03
0.000000655,1.53E+03
0.000000657,1.38E+03
0.000000659,1.55E+03
0.000000661,1.57E+03
0.000000663,1.56E+03
0.000000665,1.56E+03
0.000000667,1.54E+03
0.000000669,1.55E+03
0.000000671,1.52E+03
0.000000673,1.52E+03
0.000000675,1.51E+03
0.000000677,1.51E+03
0.000000679,1.50E+03
0.000000681,1.49E+03
0.000000683,1.48E+03
0.000000685,1.46E+03
0.000000687,1.47E+03
0.000000689,1.46E+03
0.000000691,1.45E+03
0.000000693,1.45E+03
0.000000695,1.44E+03
0.000000697,1.42E+03
0.000000699,1.43E+03
0.000000701,1.39E+03
0.000000703,1.39E+03
0.000000705,1.42E+03
0.000000707,1.40E+03
0.000000709,1.38E+03
0.000000711,1.39E+03
0.000000713,1.37E+03
0.000000715,1.37E+03
0.000000717,1.35E+03
0.000000719,1.33E+03
0.000000721,1.33E+03
0.000000723,1.35E+03
0.000000725,1.35E+03
0.000000727,1.35E+03
0.000000729,1.32E+03
0.000000731,1.33E+03
0.000000733,1.32E+03
0.000000735,1.31E+03
0.000000737,1.31E+03
0.000000739,1.28E+03
0.000000741,1.26E+03
0.000000743,1.29E+03
0.000000745,1.28E+03
0.000000747,1.28E+03
0.000000749,1.27E+03
0.000000751,1.26E+03
0.000000753,1.26E+03
0.000000755,1.26E+03
0.000000757,1.25E+03
0.000000759,1.24E+03
0.000000761,1.24E+03
0.000000763,1.24E+03
0.000000765,1.22E+03
0.000000767,1.19E+03
0.000000769,1.20E+03
0.000000771,1.20E+03
0.000000773,1.21E+03
0.000000775,1.19E+03
0.000000777,1.20E+03
0.000000779,1.19E+03
0.000000781,1.19E+03
0.000000783,1.18E+03
0.000000785,1.18E+03
0.000000787,1.18E+03
0.000000789,1.17E+03
0.000000791,1.16E+03
0.000000793,1.14E+03
0.000000795,1.13E+03
0.000000797,1.15E+03
0.000000799,1.14E+03
0.000000801,1.14E+03
0.000000803,1.13E+03
0.000000805,1.12E+03
0.000000807,1.12E+03
0.000000809,1.10E+03
0.000000811,1.11E+03
0.000000813,1.12E+03
0.000000815,1.11E+03
0.000000817,1.10E+03
0.000000819,1.06E+03
0.000000821,1.08E+03
0.000000823,1.07E+03
0.000000825,1.08E+03
0.000000826,1.08E+03
0.000000828,1.08E+03
0.00000083,1.06E+03
0.000000832,1.05E+03
0.000000834,1.04E+03
0.000000836,1.05E+03
0.000000838,1.04E+03
0.00000084,1.04E+03
0.000000842,1.04E+03
0.000000844,1.02E+03
0.000000846,1.03E+03
0.000000848,1.02E+03
0.00000085,9.66E+02
0.000000852,9.96E+02
0.000000854,8.78E+02
0.000000856,9.76E+02
0.000000858,1.01E+03
0.00000086,9.97E+02
0.000000862,9.95E+02
0.000000864,9.99E+02
0.000000866,8.86E+02
0.000000868,9.40E+02
0.00000087,9.75E+02
0.000000872,9.83E+02
0.000000874,9.71E+02
0.000000876,9.64E+02
0.000000878,9.75E+02
0.00000088,9.55E+02
0.000000882,9.51E+02
0.000000884,9.58E+02
0.000000886,9.38E+02
0.000000888,9.44E+02
0.00000089,9.53E+02
0.000000892,9.39E+02
0.000000894,9.33E+02
0.000000896,9.39E+02
0.000000898,9.34E+02
0.0000009,9.16E+02
0.000000902,8.92E+02
0.000000904,9.29E+02
0.000000906,9.18E+02
0.000000908,9.03E+02
0.00000091,8.92E+02
0.000000912,8.97E+02
0.000000914,9.07E+02
0.000000916,9.00E+02
0.000000918,8.95E+02
0.00000092,8.91E+02
0.000000922,8.63E+02
0.000000924,8.59E+02
0.000000926,8.61E+02
0.000000928,8.77E+02
0.00000093,8.68E+02
0.000000932,8.65E+02
0.000000934,8.64E+02
0.000000936,8.55E+02
0.000000938,8.58E+02
0.00000094,8.44E+02
0.000000942,8.25E+02
0.000000944,8.32E+02
0.000000946,8.38E+02
0.000000948,8.41E+02
0.00000095,8.37E+02
0.000000952,8.32E+02
0.000000954,8.08E+02
0.000000956,8.08E+02
0.000000958,8.19E+02
0.00000096,8.15E+02
0.000000962,8.09E+02
0.000000964,8.01E+02
0.000000966,7.95E+02
0.000000968,7.97E+02
0.00000097,7.96E+02
0.000000972,7.94E+02
0.000000974,7.82E+02
0.000000976,7.83E+02
0.000000978,7.78E+02
0.00000098,7.75E+02
0.000000982,7.76E+02
0.000000984,7.70E+02
0.000000986,7.66E+02
0.000000988,7.62E+02
0.00000099,7.54E+02
0.000000992,7.57E+02
0.000000994,7.56E+02
0.000000996,7.53E+02
0.000000998,7.51E+02
0.000001,7.48E+02
0.000001002,7.47E+02
0.000001004,7.26E+02
0.000001006,7.14E+02
0.000001008,7.34E+02
0.00000101,7.31E+02
0.000001012,7.26E+02
0.000001014,7.21E+02
0.000001016,7.14E+02
0.000001018,7.11E+02
0.00000102,7.04E+02
0.000001022,7.02E+02
0.000001024,7.05E+02
0.000001026,7.03E+02
0.000001028,6.99E+02
0.00000103,6.94E+02
0.000001032,6.91E+02
0.000001034,6.82E+02
0.000001036,6.84E+02
0.000001038,6.77E+02
0.00000104,6.76E+02
0.000001042,6.75E+02
0.000001044,6.71E+02
0.000001046,6.60E+02
0.000001048,6.64E+02
0.00000105,6.62E+02
0.000001052,6.59E+02
0.000001054,6.55E+02
0.000001056,6.56E+02
0.000001058,6.45E+02
0.00000106,6.42E+02
0.000001062,6.44E+02
0.000001064,6.46E+02
0.000001066,6.40E+02
0.000001068,6.32E+02
0.00000107,6.24E+02
0.000001072,6.33E+02
0.000001074,6.28E+02
0.000001076,6.28E+02
0.000001078,6.27E+02
0.00000108,6.25E+02
0.000001082,6.10E+02
0.000001084,6.18E+02
0.000001086,6.21E+02
0.000001088,6.10E+02
0.00000109,6.20E+02
0.000001092,6.16E+02
0.000001094,5.85E+02
0.000001096,5.98E+02
0.000001098,5.96E+02
0.0000011,6.04E+02
0.000001102,5.93E+02
0.000001104,5.97E+02
0.000001106,5.95E+02
0.000001108,5.92E+02
0.00000111,5.91E+02
0.000001112,5.84E+02
0.000001114,5.84E+02
0.000001116,5.83E+02
0.000001118,5.82E+02
0.00000112,5.74E+02
0.000001122,5.80E+02
0.000001124,5.77E+02
0.000001126,5.66E+02
0.000001128,5.70E+02
0.00000113,5.65E+02
0.000001132,5.68E+02
0.000001134,5.64E+02
0.000001136,5.66E+02
0.000001138,5.57E+02
0.00000114,5.53E+02
0.000001142,5.53E+02
0.000001144,5.51E+02
0.000001146,5.55E+02
0.000001148,5.53E+02
0.00000115,5.49E+02
0.000001152,5.46E+02
0.000001154,5.48E+02
0.000001156,5.46E+02
0.000001158,5.44E+02
0.00000116,5.32E+02
0.000001162,5.33E+02
0.000001164,5.33E+02
0.000001166,5.30E+02
0.000001168,5.31E+02
0.00000117,5.28E+02
0.000001172,5.32E+02
0.000001174,5.27E+02
0.000001176,5.18E+02
0.000001178,5.19E+02
0.00000118,5.24E+02
0.000001182,5.16E+02
0.000001184,5.10E+02
0.000001186,5.19E+02
0.000001188,5.08E+02
0.00000119,5.09E+02
0.000001192,5.16E+02
0.000001194,5.15E+02
0.000001196,5.08E+02
0.000001198,4.94E+02
0.0000012,5.00E+02
0.000001202,5.07E+02
0.000001204,4.95E+02
0.000001206,5.04E+02
0.000001208,4.89E+02
0.00000121,4.88E+02
0.000001212,4.93E+02
0.000001214,4.94E+02
0.000001216,4.93E+02
0.000001218,4.90E+02
0.00000122,4.88E+02
0.000001222,4.85E+02
0.000001224,4.85E+02
0.000001226,4.82E+02
0.000001228,4.77E+02
0.00000123,4.79E+02
0.000001232,4.75E+02
0.000001234,4.73E+02
0.000001236,4.72E+02
0.000001238,4.70E+02
